site_code year month day hour minute second latitude longitude altitude_final type_altitude year_end month_end day_end hour_end minute_end second_end
ABT 2020 10 02 23 00 00 49.0114 -122.3353 33 0 2020 10 03 00 00 00
ABT 2020 10 03 23 00 00 49.0114 -122.3353 33 0 2020 10 04 00 00 00
ABT 2020 10 04 23 00 00 49.0114 -122.3353 33 0 2020 10 05 00 00 00
ABT 2020 10 05 23 00 00 49.0114 -122.3353 33 0 2020 10 06 00 00 00
ABT 2020 10 06 23 00 00 49.0114 -122.3353 33 0 2020 10 07 00 00 00
ABT 2020 10 07 23 00 00 49.0114 -122.3353 33 0 2020 10 08 00 00 00
ABT 2020 10 08 23 00 00 49.0114 -122.3353 33 0 2020 10 09 00 00 00
ABT 2020 10 09 23 00 00 49.0114 -122.3353 33 0 2020 10 10 00 00 00
ABT 2020 10 10 23 00 00 49.0114 -122.3353 33 0 2020 10 11 00 00 00
ABT 2020 10 11 23 00 00 49.0114 -122.3353 33 0 2020 10 12 00 00 00
ABT 2020 10 12 23 00 00 49.0114 -122.3353 33 0 2020 10 13 00 00 00
ABT 2020 10 13 23 00 00 49.0114 -122.3353 33 0 2020 10 14 00 00 00
ABT 2020 10 14 23 00 00 49.0114 -122.3353 33 0 2020 10 15 00 00 00
ABT 2020 10 15 23 00 00 49.0114 -122.3353 33 0 2020 10 16 00 00 00
ABT 2020 10 16 23 00 00 49.0114 -122.3353 33 0 2020 10 17 00 00 00
ABT 2020 10 17 23 00 00 49.0114 -122.3353 33 0 2020 10 18 00 00 00
ABT 2020 10 18 23 00 00 49.0114 -122.3353 33 0 2020 10 19 00 00 00
ABT 2020 10 19 23 00 00 49.0114 -122.3353 33 0 2020 10 20 00 00 00
ABT 2020 10 20 23 00 00 49.0114 -122.3353 33 0 2020 10 21 00 00 00
ABT 2020 10 21 23 00 00 49.0114 -122.3353 33 0 2020 10 22 00 00 00
ABT 2020 10 22 23 00 00 49.0114 -122.3353 33 0 2020 10 23 00 00 00
ABT 2020 10 23 23 00 00 49.0114 -122.3353 33 0 2020 10 24 00 00 00
ABT 2020 10 24 23 00 00 49.0114 -122.3353 33 0 2020 10 25 00 00 00
