site_code,year,month,day,hour,minute,second,time,start_time,midpoint_time,time_decimal,time_interval,value,value_std_dev,value_unc,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag,analysis_datetime,method,event_number,air_sample_container_id,unique_sample_location_num,obs_flag,obs_num,obspack_num,name,sector,site_name,site_country,site_elevation,dataset_project,lab_1_abbr,dataset_calibration_scale,altitude_comment,site_utc2lst,agl,type_altitude,altitude_final,id,pressure,source_id,timeUTC,timeUTC_start,timeUTC_end,dif_time,time_warning,year_end,month_end,day_end,hour_end,minute_end,second_end,local_time,lh,max_altitude
MLO,2020,7,14,20,28,0,1594758480,1594758480,1594758480,2020.53511687917,3600,1.87385e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915169,1,1362,3751562,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-07-14 20:28:00,2020-07-14 20:28:00,2020-07-14 21:28:00,1,all good,2020,7,14,21,28,0,2020-07-14 10:28:00,10,40
MLO,2020,7,28,19,25,0,1595964300,1595964300,1595964300,2020.57324870978,3600,1.87179e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915170,1,1363,3751563,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-07-28 19:25:00,2020-07-28 19:25:00,2020-07-28 20:25:00,1,all good,2020,7,28,20,25,0,2020-07-28 09:25:00,9,40
MLO,2020,7,28,19,40,0,1595965200,1595965200,1595965200,2020.57327717061,3600,1.87042e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915171,1,1364,3751564,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-07-28 19:40:00,2020-07-28 19:40:00,2020-07-28 20:40:00,1,all good,2020,7,28,20,40,0,2020-07-28 09:40:00,9,40
MLO,2020,8,11,19,54,0,1597175640,1597175640,1597175640,2020.61155510018,3600,1.86989e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915172,1,1365,3751565,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-08-11 19:54:00,2020-08-11 19:54:00,2020-08-11 20:54:00,1,all good,2020,8,11,20,54,0,2020-08-11 09:54:00,9,40
MLO,2020,8,11,20,6,0,1597176360,1597176360,1597176360,2020.61157786885,3600,1.86649e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915173,1,1366,3751566,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-08-11 20:06:00,2020-08-11 20:06:00,2020-08-11 21:06:00,1,all good,2020,8,11,21,6,0,2020-08-11 10:06:00,10,40
MLO,2020,8,25,20,26,0,1598387160,1598387160,1598387160,2020.64986718276,3600,1.88689e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915174,1,1367,3751567,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-08-25 20:26:00,2020-08-25 20:26:00,2020-08-25 21:26:00,1,all good,2020,8,25,21,26,0,2020-08-25 10:26:00,10,40
MLO,2020,8,25,20,38,0,1598387880,1598387880,1598387880,2020.64988995143,3600,1.8849e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915175,1,1368,3751568,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-08-25 20:38:00,2020-08-25 20:38:00,2020-08-25 21:38:00,1,all good,2020,8,25,21,38,0,2020-08-25 10:38:00,10,40
MLO,2020,9,8,20,31,0,1599597060,1599597060,1599597060,2020.68812803582,3600,1.89311e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915176,1,1369,3751569,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-09-08 20:31:00,2020-09-08 20:31:00,2020-09-08 21:31:00,1,all good,2020,9,8,21,31,0,2020-09-08 10:31:00,10,40
MLO,2020,9,8,20,45,0,1599597900,1599597900,1599597900,2020.68815459927,3600,1.89251e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915177,1,1370,3751570,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-09-08 20:45:00,2020-09-08 20:45:00,2020-09-08 21:45:00,1,all good,2020,9,8,21,45,0,2020-09-08 10:45:00,10,40
MLO,2020,9,22,20,23,0,1600806180,1600806180,1600806180,2020.72636422283,3600,1.87628e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915178,1,1371,3751571,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-09-22 20:23:00,2020-09-22 20:23:00,2020-09-22 21:23:00,1,all good,2020,9,22,21,23,0,2020-09-22 10:23:00,10,40
MLO,2020,9,22,20,37,0,1600807020,1600807020,1600807020,2020.72639078628,3600,1.88558e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915179,1,1372,3751572,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-09-22 20:37:00,2020-09-22 20:37:00,2020-09-22 21:37:00,1,all good,2020,9,22,21,37,0,2020-09-22 10:37:00,10,40
MLO,2020,10,6,20,21,0,1602015660,1602015660,1602015660,2020.76461179417,3600,1.8945e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915180,1,1373,3751573,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-10-06 20:21:00,2020-10-06 20:21:00,2020-10-06 21:21:00,1,all good,2020,10,6,21,21,0,2020-10-06 10:21:00,10,40
MLO,2020,10,6,20,33,0,1602016380,1602016380,1602016380,2020.76463456284,3600,1.89939e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915181,1,1374,3751574,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-10-06 20:33:00,2020-10-06 20:33:00,2020-10-06 21:33:00,1,all good,2020,10,6,21,33,0,2020-10-06 10:33:00,10,40
